No,Nama,Kegiatan,Lokasi,Tahun,Status,Jumlah Aset,Satuan,Mata,Persentase
,,Usaha,,Komersil,Operasi,,,Uang,(%)
1,PT Gunung,Kelapa Sawit,Kalimantan,2002,Aktif,29.413,JUTAAN,IDR,99.99
,Sejahtera,,Tengah,,,,,,
,Raman,,,,,,,,
,Permai,,,,,,,,
2,PT Karyanusa,Kelapa Sawit,Kalimantan,2009,Aktif,1.559.287,JUTAAN,IDR,99.99
,Ekadaya,,Timur,,,,,,
3,PT Waru,Kelapa Sawit,Kalimantan,1995,Aktif,755.976,JUTAAN,IDR,99.99
,Kaltim,,Timur,,,,,,
,Plantation,,,,,,,,
4,PT Sumber,Kelapa Sawit,Kalimantan,2006,Aktif,518.746,JUTAAN,IDR,99.99
,Kharisma,,Timur,,,,,,
,Persada,,,,,,,,
5,PT Sukses,Kelapa Sawit,Kalimantan,2000,Aktif,548.040,JUTAAN,IDR,99.99
,Tani,,Timur,,,,,,
,Nusasubur,,,,,,,,
6,PT Borneo,Kelapa Sawit,Kalimantan,2011,Aktif,946.489,JUTAAN,IDR,99.99
,Indah Marjaya,,Timur,,,,,,
7,PT Palma,Kelapa Sawit,Kalimantan,2011,Aktif,523.659,JUTAAN,IDR,99.99
,Plantasindo,,Timur,,,,,,
8,PT Cipta,Kelapa Sawit,Kalimantan,2011,Aktif,109.804,JUTAAN,IDR,99.99
,Narada,,Timur,,,,,,
,Lestari,,,,,,,,
9,PT Subur,Kelapa Sawit,Kalimantan,2012,Aktif,399.344,JUTAAN,IDR,99.99
,Abadi,,Timur,,,,,,
,Plantations,,,,,,,,
10,PT Bhadra,Kelapa Sawit,Kalimantan,2010,Aktif,471.789,JUTAAN,IDR,99.99
,Cemerlang,,Tengah,,,,,,
11,PT Nirmala,Kelapa Sawit,Kalimantan,2003,Aktif,797.918,JUTAAN,IDR,99.99
,Agro Lestari,,Tengah,,,,,,
12,PT Gunung,Kelapa Sawit,Kalimantan,2001,Aktif,296.624,JUTAAN,IDR,95.0
,Sejahtera Yoli,,Tengah,,,,,,
,Makmur,,,,,,,,
13,PT,Kelapa Sawit,Kalimantan,2002,Aktif,185.159,JUTAAN,IDR,95.0
,Persadabina,,Tengah,,,,,,
,Nusantaraaba,,,,,,,,
,di,,,,,,,,
14,PT Gunung,Kelapa Sawit,Kalimantan,2002,Aktif,29.413,JUTAAN,IDR,99.99
,Sejahtera,,Tengah,,,,,,
,Raman,,,,,,,,
,Permai,,,,,,,,
15,PT Karyanusa,Kelapa Sawit,Kalimantan,2009,Aktif,1.559.287,JUTAAN,IDR,99.99
,Ekadaya,,Timur,,,,,,
16,PT Waru,Kelapa Sawit,Kalimantan,1995,Aktif,755.976,JUTAAN,IDR,99.99
,Kaltim,,Timur,,,,,,
,Plantation,,,,,,,,
17,PT Sumber,Kelapa Sawit,Kalimantan,2006,Aktif,518.746,JUTAAN,IDR,99.99
,Kharisma,,Timur,,,,,,
,Persada,,,,,,,,
18,PT Sukses,Kelapa Sawit,Kalimantan,2000,Aktif,548.040,JUTAAN,IDR,99.99
,Tani,,Timur,,,,,,
,Nusasubur,,,,,,,,
19,PT Borneo,Kelapa Sawit,Kalimantan,2011,Aktif,946.489,JUTAAN,IDR,99.99
,Indah Marjaya,,Timur,,,,,,
20,PT Tri Buana,Kelapa Sawit,Kalimantan,2016,Aktif,2.702.524,JUTAAN,IDR,99.99
,Mas,,Selatan,,,,,,
21,PT Tanjung,Penyulingan,Sulawesi,2014,Aktif,2.504.908,JUTAAN,IDR,99.99
,Sarana Lestari,Minyak,Barat,,,,,,
22,PT Tanjung,Penyulingan,Sulawesi,2017,Aktif,106.217,JUTAAN,IDR,99.99
,Bina Lestari,Minyak,Barat,,,,,,
23,PT Palma,Kelapa Sawit,Kalimantan,2011,Aktif,523.659,JUTAAN,IDR,99.99
,Plantasindo,,Timur,,,,,,
